count,county,lat,long,texture,group,elevation,temprange,rain,watervol,mintemp,maxtemp,precip,snow,temp
1,Bedford,40.12605,-78.60696,Loam,W,485,16.95209215,0.078232119,0.363892077,5.151880317,22.10397246,0.081203411,0.017173047,13.62792639
2,Bedford,40.12476,-78.60934,Loam,W,480,16.9420927,0.078145113,0.364029267,5.150289644,22.09238235,0.08117398,0.017215787,13.621336
3,Bradford,41.877616,-76.504535,Sandy Loam,N,228,17.93774416,0.063215275,0.35781858,3.952544592,21.89028875,0.053478663,0.010358879,12.92141667
4,Bucks,40.3557646,-75.23040567,Silt Loam,SE,170,16.42612907,0.06513174,0.346399335,8.075321502,24.50145057,0.067055803,0.008202187,16.28838604
5,Butler,40.718888,-79.963888,Loam,W,359,16.18527505,0.075077599,0.443136691,6.427959076,22.61323413,0.076487044,0.013064525,14.5205966
6,Butler,40.719612,-79.964111,Loam,W,357,16.18563622,0.075063282,0.443180073,6.425989376,22.61162559,0.076471606,0.01306102,14.51880748
7,Cambria ,40.52148,-78.79209,Silt Loam,W,704,16.48083665,0.070596869,0.366417604,4.695986825,21.17682348,0.075448344,0.019673104,12.93640515
8,Cambria ,40.52771,-78.5913,Silt Loam,W,576,16.49995381,0.07024283,0.365319344,4.568388743,21.06834255,0.07491657,0.018805843,12.81836565
9,Centre,40.831828,-77.834464,Silt Loam,W,311,16.58979542,0.079363077,0.361576711,5.044016497,21.63381192,0.074870745,0.013018855,13.33891421
10,Centre,40.832225,-77.835399,Silty Clay Loam,W,321,16.59229609,0.079358757,0.361577845,5.040202104,21.63249819,0.0748724,0.013023734,13.33635015
11,Dauphin,40.193175,-76.674922,Silt Loam,SE,148,16.13426576,0.065179941,0.36034853,8.478888012,24.61315377,0.065812405,0.009015515,16.54602089
12,Dauphin,40.192861,-76.676815,Silt Loam,SE,166,16.14078875,0.065197837,0.360307554,8.474935112,24.61572386,0.065837163,0.009015809,16.54532949
13,Lancaster,40.196937,-76.531366,Silt Loam,SE,149,16.20376119,0.064529248,0.362161907,8.431111298,24.63487249,0.06365943,0.008883343,16.53299189
14,Lancaster,40.195523,-76.52892,Silt Loam,SE,141,16.20845781,0.064490386,0.362382034,8.433797765,24.64225557,0.06359073,0.008871764,16.53802667
15,Lebanon,40.28186,-76.401,Silt Loam,SE,184,16.53250182,0.068016604,0.356033772,7.940334263,24.47283609,0.065898646,0.009354992,16.20658518
16,Lebanon,40.28027,-76.3999,Silt Loam,SE,188,16.5392215,0.06797646,0.356160372,7.940963522,24.48018502,0.065849823,0.009342376,16.21057427
17,McKean,41.86532,-78.34303,Sandy Loam,N,440,17.42881911,0.057490847,0.367029241,3.1856781,20.61449721,0.056568666,0.017538595,11.90008766
18,Mercer,41.172,-80.181,Silt Loam,N,405,16.9144586,0.065667683,0.377339218,5.315205109,22.22966371,0.067097484,0.011019302,13.77243441
19,Mercer,41.171,-80.183,Silt Loam,N,406,16.91539124,0.065612298,0.377315637,5.319074586,22.23446583,0.067081149,0.011014812,13.77677021
20,Northumberland ,40.929025,-76.67868,Silt Loam,SE,226,16.73956475,0.077985354,0.315341327,6.470078519,23.20964327,0.071249069,0.01033009,14.83986089
21,Northumberland ,40.929565,-76.677472,Silt Loam,SE,220,16.73991189,0.077973409,0.315681778,6.467606757,23.20751865,0.071236714,0.010330927,14.8375627
22,Perry,40.387985,-77.263898,Silt Loam,SE,248,16.37154121,0.082306313,0.366701969,7.057994951,23.42953616,0.075250877,0.011079046,15.24376556
23,Perry,40.38886,-77.26306,Silt Loam,SE,249,16.37140928,0.08230029,0.366693068,7.057584334,23.42899361,0.075229342,0.011078655,15.24328897
24,Snyder,40.823858,-77.126888,Silt Loam,SE,220,17.12475625,0.086612776,0.372434841,5.729184273,22.85394052,0.080165273,0.010919064,14.2915624
25,Snyder,40.823178,-77.125491,Silt Loam,SE,220,17.11797062,0.08657267,0.372368362,5.740423747,22.85839437,0.080165789,0.010916915,14.29940906
26,Somerset,40.23904,-78.91912,Silt Loam,W,546,16.21951039,0.073711436,0.370998554,5.075567501,21.29507789,0.081415685,0.019973676,13.1853227
27,Tioga,41.706101,-77.376175,Loam,N,577,17.56980471,0.077834834,0.358043755,3.410320705,20.98012542,0.071492205,0.013009534,12.19522306
28,Tioga,41.706378,-77.37718,Silt Loam,N,578,17.5708672,0.077809383,0.358054362,3.408857239,20.97972444,0.071474486,0.013015074,12.19429084
29,Tioga,41.847307,-77.271305,Silt Loam,N,348,17.79055244,0.071987974,0.356187432,3.532034575,21.32258702,0.064308122,0.012306289,12.4273108
